Led Zeppelin IV (Deluxe Edition)                                                                                                                                                                                                                               ,44Ig8dzqOkvkGDzaUof9lK                                                                                                                                                                                                                                         
Led Zeppelin II (1994 Remaster)                                                                                                                                                                                                                                ,70lQYZtypdCALtFVlQAcvx                                                                                                                                                                                                                                         
Led Zeppelin III (Remaster)                                                                                                                                                                                                                                    ,6P5QHz4XtxOmS5EuiGIPut                                                                                                                                                                                                                                         
Led Zeppelin                                                                                                                                                                                                                                                   ,3ycjBixZf7S3WpC5WZhhUK                                                                                                                                                                                                                                         
Physical Graffiti (1994 Remaster)                                                                                                                                                                                                                              ,1lZahjeu4AhPkg9JARZr5F                                                                                                                                                                                                                                         
Houses of the Holy (Deluxe Edition)                                                                                                                                                                                                                            ,7gS8ozSkvPW3VBPLnXOZ7S                                                                                                                                                                                                                                         
mau5ville: Level 1                                                                                                                                                                                                                                             ,1DH1jrRHjCyAEDwTmHmMZe                                                                                                                                                                                                                                         
Pomegranate                                                                                                                                                                                                                                                    ,2phbPmXID3ja0vSKkLdF5G                                                                                                                                                                                                                                         
For Lack of a Better Name (The Extended Mixes)                                                                                                                                                                                                                 ,3eNZDL2rqTVvmiC1f0yFwF                                                                                                                                                                                                                                         
Pomegranate (Jay Robinson Remix)                                                                                                                                                                                                                               ,3I4jrDAM138QXgHszi4N8K                                                                                                                                                                                                                                         
The Longest Road                                                                                                                                                                                                                                               ,2WLFwif81NStLAwtQQtsFs                                                                                                                                                                                                                                         
Strobe                                                                                                                                                                                                                                                         ,5bDYz7FFarDT3C2oSNDi6S                                                                                                                                                                                                                                         
The Veldt (feat. Chris James)                                                                                                                                                                                                                                  ,0WanInStsKUQQ22o8TzJEK                                                                                                                                                                                                                                         
Strobelite Seduction                                                                                                                                                                                                                                           ,2SZJP9Nd73rvadObrh7mdc                                                                                                                                                                                                                                         
W:/2016ALBUM/                                                                                                                                                                                                                                                  ,1m1V83RrHAsSfmmM8aKy0x                                                                                                                                                                                                                                         
Random Album Title (Unmixed Extended Versions)                                                                                                                                                                                                                 ,1vN0ln5O00vAWe5FEmUUst                                                                                                                                                                                                                                         
Classics                                                                                                                                                                                                                                                       ,2n5wpk7KaHpp3mgUYqpF4f                                                                                                                                                                                                                                         
Cream On Chrome                                                                                                                                                                                                                                                ,3RGtHyDiOrog7uzkhPYa4I                                                                                                                                                                                                                                         
Ratatat                                                                                                                                                                                                                                                        ,4JKPD5CoWpBbzf2WwokRSp                                                                                                                                                                                                                                         
Magnifique                                                                                                                                                                                                                                                     ,4Lp4NxL8v03Mxg3hbAgW1Z                                                                                                                                                                                                                                         
LP4                                                                                                                                                                                                                                                            ,72aBWaiTnk9GHNcuMuZwcJ                                                                                                                                                                                                                                         
The Days / Nights                                                                                                                                                                                                                                              ,0h2knr6qpiAq0tV5ri5JMF                                                                                                                                                                                                                                         
True                                                                                                                                                                                                                                                           ,2H6i2CrWgXE1HookLu8Au0                                                                                                                                                                                                                                         
Stories                                                                                                                                                                                                                                                        ,7dqftJ3kas6D0VAdmt3k3V                                                                                                                                                                                                                                         
AV?CI (01)                                                                                                                                                                                                                                                     ,1m3mf7xkXIwssVriaaTjOS                                                                                                                                                                                                                                         
TIM                                                                                                                                                                                                                                                            ,6Ad1E9vl75ZB3Ir87zwXIJ                                                                                                                                                                                                                                         
Levels                                                                                                                                                                                                                                                         ,1OEGfToF7QbjUgyxMAnGXg                                                                                                                                                                                                                                         
Forever Yours (Avicii Tribute)                                                                                                                                                                                                                                 ,63VE57Ol6fcAC0fb6kGx5y                                                                                                                                                                                                                                         
Metallica                                                                                                                                                                                                                                                      ,6QdCohkHKNTVoaSx1ZzitH                                                                                                                                                                                                                                         
Master of Puppets (Remastered Deluxe Box Set)                                                                                                                                                                                                                  ,7CGhx630DIjdJqaBDVKc5j                                                                                                                                                                                                                                         
...And Justice for All (Remastered Deluxe Box Set)                                                                                                                                                                                                             ,2XbWaerVk9fjhEiGSrd6TF                                                                                                                                                                                                                                         
Garage, Inc.                                                                                                                                                                                                                                                   ,5b7HQ04lPT7eGJQ7fmVsjC                                                                                                                                                                                                                                         
Ride The Lightning (Deluxe Remaster)                                                                                                                                                                                                                           ,2omIeSJEGQeKHPOpiXgfkr                                                                                                                                                                                                                                         
Kill 'Em All (Remastered)                                                                                                                                                                                                                                      ,0vNBQof86Lv5gLuf26ML7o                                                                                                                                                                                                                                         
After Hours                                                                                                                                                                                                                                                    ,4yP0hdKOZPNshxUOjY0cZj                                                                                                                                                                                                                                         
Legends Never Die                                                                                                                                                                                                                                              ,6n9DKpOxwifT5hOXtgLZSL                                                                                                                                                                                                                                         
Over Now (with The Weeknd)                                                                                                                                                                                                                                     ,3GPiefSRSOxqTrgKJIB7RL                                                                                                                                                                                                                                         
Starboy                                                                                                                                                                                                                                                        ,2ODvWsOgouMbaA5xf0RkJe                                                                                                                                                                                                                                         
Beauty Behind The Madness                                                                                                                                                                                                                                      ,0P3oVJBFOv3TDXlYRhGL7s                                                                                                                                                                                                                                         
My Dear Melancholy,                                                                                                                                                                                                                                            ,4qZBW3f2Q8y0k1A84d4iAO                                                                                                                                                                                                                                         
Starboy                                                                                                                                                                                                                                                        ,4AdZV63ycxFLF6Hcol0QnB                                                                                                                                                                                                                                         
Stuck with U                                                                                                                                                                                                                                                   ,5mUdh6YWnUvf0MfklEk1oi                                                                                                                                                                                                                                         
Chromatica                                                                                                                                                                                                                                                     ,05c49JgPmL4Uz2ZeqRx5SP                                                                                                                                                                                                                                         
thank u, next                                                                                                                                                                                                                                                  ,2fYhqwDWXjbpjaIJPEfKFw                                                                                                                                                                                                                                         
Sweetener                                                                                                                                                                                                                                                      ,3tx8gQqWbGwqIGZHqDNrGe                                                                                                                                                                                                                                         
boyfriend                                                                                                                                                                                                                                                      ,3zVB99XMdbP9HTVNg0GJwV                                                                                                                                                                                                                                         
Sweet Talker (Deluxe Version)                                                                                                                                                                                                                                  ,2rDIivxBafNKpgRqlzIRSb                                                                                                                                                                                                                                         
My Everything (Deluxe)                                                                                                                                                                                                                                         ,6EVYTRG1drKdO8OnIQBeEj                                                                                                                                                                                                                                         
A Night At The Opera (Deluxe Remastered Version)                                                                                                                                                                                                               ,6X9k3hSsvQck2OfKYdBbXr                                                                                                                                                                                                                                         
Jazz (Deluxe Remastered Version)                                                                                                                                                                                                                               ,21HMAUrbbYSj9NiPPlGumy                                                                                                                                                                                                                                         
The Game (Deluxe Remastered Version)                                                                                                                                                                                                                           ,6wPXUmYJ9mOWrKlLzZ5cCa                                                                                                                                                                                                                                         
Hot Space (Deluxe Remastered Version)                                                                                                                                                                                                                          ,0xc5IpJM39eEEYSKDrm5kf                                                                                                                                                                                                                                         
News Of The World (Deluxe Remastered Version)                                                                                                                                                                                                                  ,6Di4m5k1BtMJ0R44bWNutu                                                                                                                                                                                                                                         
The Works (Deluxe Remastered Version)                                                                                                                                                                                                                          ,7oHaj9jkWHByziQsqGAb8V                                                                                                                                                                                                                                         
A Day At The Races (Deluxe Remastered Version)                                                                                                                                                                                                                 ,0lmQ6rAGcChLjGXM52Qu3i                                                                                                                                                                                                                                         
Memories                                                                                                                                                                                                                                                       ,3nR9B40hYLKLcR0Eph3Goc                                                                                                                                                                                                                                         
Nobody's Love                                                                                                                                                                                                                                                  ,2cDt5R89HP8ZCXhNAmZs27                                                                                                                                                                                                                                         
Overexposed                                                                                                                                                                                                                                                    ,5x7JzoE4A3DwwU6FPt8qws                                                                                                                                                                                                                                         
Songs About Jane: 10th Anniversary Edition                                                                                                                                                                                                                     ,5zClcGCSWj926AMjvBNSLc                                                                                                                                                                                                                                         
V                                                                                                                                                                                                                                                              ,2Auw0pTT6EcQdvHNimhLQI                                                                                                                                                                                                                                         
Red Pill Blues (Deluxe)                                                                                                                                                                                                                                        ,3ThQ5dvf9wlqB0C7evh5nH                                                                                                                                                                                                                                         
Hands All Over                                                                                                                                                                                                                                                 ,7strNUlU6xZqlVWBNUdOYv                                                                                                                                                                                                                                         
The Complete BBC Sessions                                                                                                                                                                                                                                      ,6VH2op0GKIl3WNTbZmmcmI                                                                                                                                                                                                                                         
Celebration Day                                                                                                                                                                                                                                                ,0kTe1sQd9yhDsdG2Zth7X6                                                                                                                                                                                                                                         
