big room                                                                                                                                                                                                                                                       
canadian electronic                                                                                                                                                                                                                                            
edm                                                                                                                                                                                                                                                            
electro house                                                                                                                                                                                                                                                  
progressive house                                                                                                                                                                                                                                              
alternative dance                                                                                                                                                                                                                                              
electronica                                                                                                                                                                                                                                                    
new rave                                                                                                                                                                                                                                                       
dance pop                                                                                                                                                                                                                                                      
pop                                                                                                                                                                                                                                                            
indietronica                                                                                                                                                                                                                                                   
album rock                                                                                                                                                                                                                                                     
classic rock                                                                                                                                                                                                                                                   
hard rock                                                                                                                                                                                                                                                      
rock                                                                                                                                                                                                                                                           
temp1                                                                                                                                                                                                                                                          
temp2                                                                                                                                                                                                                                                          
rap                                                                                                                                                                                                                                                            
hip hop                                                                                                                                                                                                                                                        
permanent wave                                                                                                                                                                                                                                                 
modern rock                                                                                                                                                                                                                                                    
canadian hip hop                                                                                                                                                                                                                                               
uk pop                                                                                                                                                                                                                                                         
toronto rap                                                                                                                                                                                                                                                    
pop rap                                                                                                                                                                                                                                                        
pop rock                                                                                                                                                                                                                                                       
thrash metal                                                                                                                                                                                                                                                   
metal                                                                                                                                                                                                                                                          
glam rock                                                                                                                                                                                                                                                      
canadian contemporary r&b                                                                                                                                                                                                                                      
post-teen pop                                                                                                                                                                                                                                                  
old school thrash                                                                                                                                                                                                                                              
canadian pop                                                                                                                                                                                                                                                   
